no	label	annotate	sentence
ad03	0	*	The librarians likes books.
bc01	1		Lilly should buy salmon and Mary should buy salmon too.
l-93	1		The potatoes baked.
c_13	1		Felicia wrote a fine paper on Zapotec.
ad03	1		We believed that Aphrodite was omnipotent.
bc01	0	*	The men arrived all.
ks08	1		I am hoping that the weather is lovely today.
l-93	0	*	The song sang.
ks08	0	*	Better you not drink.
cj99	1		This is a problem that you'll be able to tell the folks up at corporate headquarters to buzz off if you solve it.
c_13	1		I am afraid of tigers and fond of clowns without exception.
sks13	1		I danced a dance.
bc01	0	*	Mary was told to bring something to the party, so she asked Sue what to.
gj04	1		I'll fix you a drink.
sks13	1		He will not endorse the treaty; and indeed.
l-93	1		Nora brought the book to Pamela.
m_02	1		The bread was chewed by Martha.
ks08	1		For John to either make up such a story or repeat it is outrageous.
ad03	1		Evan's every idea was completely insane.
ks08	1		John believed it.
r-67	1		Mary and an old friend who comes from Miami kissed.
r-67	1		Although no one else thinks so, Harry thinks that Sally is innocent.
ks08	1		The president could not approve the bill.
ks08	1		She doesn't believe much of that story.
bc01	0	*	I explained to fix the sink.
c_13	1		I told Daniel that the exam was cancelled.
ks08	1		King prawns cooked in chili salt and pepper was very much better, a simple dish deliciously executed.
ks08	1		Both the workers will wear carnations.
bc01	0	*	Mary considered he to have loved her.
r-67	0	*	Only the travelers who anybody has ever robbed don't carry machetes.
ks08	1		To please John is tough.
cj99	1		When John eats more, keep your mouth shut tighter, OK?
r-67	1		Bob is too thin for me to be able to squeeze into his jacket.
m_02	1		Flora cooks gourmet meals.
l-93	1		Many flags fluttered over the fort.
r-67	1		This is the dog that chased the cat that caught the rat that ate the cheese.
c_13	1		Calvin will not eat the beef waffles.
ad03	1		Who was it obvious that Plato loved?
l-93	1		Paula hit Deirdre on the back.
ad03	1		That Plato loved Aster deeply was obvious.
r-67	1		I have some papers to try to finish grading.
ks08	1		John is easy to please.
ks08	1		That they have completed the course is amazing.
c_13	1		Martha said that Bill loved his Cheerios in the morning.
c_13	1		Dust fell on the bed.
bc01	1		John received a book.
ks08	1		That the Dalai Lama claims Tibet independence disturbs the Chinese government.
rhl07	1		Fred kicked the ball under the porch.
l-93	1		Alison poked the needle through the cloth.
l-93	1		The horse jumped into the stream.
sks13	0	*	I prefer for the girl to wins.
r-67	1		Jack disappeared in a mysterious manner and the Hudson disappeared in a mysterious manner too.
r-67	0	*	That she loved him and it was painfully evident that he loved another.
sks13	0	*	No one's mother saw himself.
r-67	1		We are discussing their claim that flying saucers are real.
ks08	1		He talked with a girl about swimming.
ks08	0	*	They want to wrote to her.
ks08	1		The dentist is likely to examine Pat.
rhl07	1		Ann copied the manuscript, but she didn't finish it.
bc01	1		Someone attended every seminar.
g_81	1		Different teams beat the Red Sox and were beaten by the Giants.
l-93	0	*	Monica covered a blanket over the baby.
cj99	1		If you give him enough opportunity, every senator will succumb to corruption.
l-93	1		Brenda and Molly agreed.
c_13	1		Sylvia could be slapping Jeff upside the head in martial arts class.
ks08	1		Kim relies on Sandy.
ad03	0	*	I wondered who had Medea poisoned.
ad03	1		Why did you say that you were leaving?
ks08	0	*	The teacher is proud with his students.
ks08	1		I wonder who it was you saw.
b_73	1		I have as many too many marbles as you.
bc01	0	*	John is being discussed and Sally is being too.
r-67	1		The man who ordered ice cream said the pudding would be tasty.
ks08	0	*	I found myself doing need sleep.
ks08	0	*	The house is been remodelling.
bc01	1		Every man who said he would buy some salmon did buy some salmon.
g_81	1		I had hoped that it was true that Rosa Luxemburg had actually defected to Iceland for many years.
g_81	0	*	Which did you buy the table on Kim put the book?
ks08	1		There are believed to be sheep in the park.
r-67	0	*	My brother and few Americans meet in Vienna.
ad03	1		Aphrodite did free animals
ad03	1		Ron's likely to be on the Web, isn't he?
c_13	1		Doug blew it up.
l-93	1		We walked ourselves into a state of exhaustion.
ks08	0	*	One of the story has appeared in your newspaper.
ad03	0	*	There were killed three men.
l-93	1		To win the prize :would thrill me.
r-67	1		I gave Jack a picture of myself.
bc01	0	*	How do you wonder which problem to solve?
cj99	0	??	Which folks up at corporate headquarters do you think that the sooner you solve this problem, the quicker you'll be able to tell t to buzz off?
l-93	1		Alison pierced the cloth with a needle.
gj04	1		Bill floated down the river.
g_81	0	*	John told, and Harry showed, Seymour that Sally was a virgin.
c_13	1		Where do you guys live at?
c_13	1		Alexandra wants to catch a fish and Sylvia does too.
ks08	1		That he has met the professor is extremely unlikely.
ks08	1		Kim depends on Sandy.
l-93	0	*	Her stepmother always clad her in black.
