I am in trouble	trouble is in the air	I am in the air	no	I am in Romania	Romania is in Europe	I am in Europe	yes
Fernando is on a trip to Zurich	the trip to Zurich is in Fernando's calendar	Fernando is in Fernando's calendar	no	Fernando is on a trip to Zurich	Zurich is in Switzerland	Fernando is in Switzerland	yes
goat's cheese is on the menu	the menu is on the table	goat's cheese is on the table	no	goat's cheese is on the order	the order is on the way	goat's cheese is on the way	yes
the pear is on the table	the table is on the carpet	the pear is on the carpet	no	the keys are on the bus seat	the bus is on the East road	the car keys are on the East road	yes
my sister is at my mother's	my mother is at ease	my sister is at ease	no	my mother is at the restaurant	the restaurant is at the seaside	my mother is at the seaside	yes
the tourists are at the centre of Venezuela	Venezuela is at war with Argentina	the tourists are at war with Argentina	no	I am at the hotel	the hotel is at the end of the street	I am at the end of the street	yes
Robert is with his sister	his sister is in awe	Robert is in awe	no	Robert is with his sister	his sister is in France	Robert is in France	yes
Helen is staying with Linda	Linda is at peace	Helen is at peace	no	Helen is staying with Linda	Linda is at a Roman guesthouse	Helen is at a Roman guesthouse	yes
the names are in the report	the report is in progress	the names are in progress	no	the information is in the file	the file is in the computer drive	the information is in the computer drive	yes
the book is on the box	the box is on the floor	the book is on the floor	no	the book is on the box	the box is on the sixth floor of the library	the book is on the sixth floor of the library	yes
the snowboard is on the car	the car is on the pavement	the snowboard is on the pavement	no	the snowboard is on the car	the car is on the hill	the snowboard is on the hill	yes
the fly is on the flower	the flower is in the pot	the fly is in the pot	no	the dog is on the car	the car is in the garage	the dog is in the garage	yes
I am with my friend	my friend is at the crossroads between psychology and philosophy	I am at the crossroads between psychology and philosophy	no	I am with my friend	my friend is at the hospital	I am at the hospital	yes
I am in the train	the train is on the railway schedule	I am on the railway schedule	no	I am in the train	the train is on the way to California	I am on the way to California	yes
Mary is in pain	Mary's pain is in Mary's mind	Mary is in Mary's mind	no	Mary is in her classroom	Mary's classroom is in Mary's hometown	Mary is in Mary's hometown	yes
Mary is in pain	the pain is in her mind	Mary is in her mind	no	Mary is in a museum	the museum is in her hometown	Mary is in her hometown	yes
Roger is in the newspaper	the newspaper is in the living room	Roger is in the living room	no	Roger is in the crib	the crib is in the living room	Roger is in the living room	yes
the President is in the newspaper	the newspaper is on the floor	the President is on the floor	no	the party is in the garden	the garden is on the hill	the party is on the hill	yes
the public attention is on climate change	climate change is on my mind	the public attention is on my mind	no	the forks are on the plate	the plate is on the boat	the forks are on the boat	yes
I am in the house	the house is in need of repairs	I am in need of repairs	no	I am in the house	the house is in London	I am in London	yes
John is in a lecture	the lecture is in the curriculum	John is in the curriculum	no	John is in a lecture	the lecture is in the main building	John is in the main building	yes
the protection net is on the orchids	orchids is on the verge of extinction	the protection net is on the verge of extinction	no	the protection net is on the orchids	orchids are on the mountain	the protection net is on the mountain	yes
there is a crown on her head	her head is in the clouds	there is a crown in the clouds	no	there is a crown on her head	her head is in the museum	there is a crown in the museum	yes
the cat is on the sofa	the sofa is in a bad condition	the cat is in a bad condition	no	the cat is on the sofa	the sofa is in the kitchen	in the cat is in the kitchen	yes
the mug is in my hand	my hand is in pain	the mug is in pain	no	the mug is in my hand	my hand is in the box	the mug is in the box	yes
I am in the building	the building is under construction	I am under construction	no	I am in the tent	the tent is under the bridge	I am under the bridge	yes
the report focus is on the financial crisis	the financial crisis is on my mind	the report focus is on my mind	no	the report is on my desk	my desk is on the ground floor	the report is on the ground floor	yes
the pencil is on the book	the book is on my reading list	the pencil is on my reading list	no	the pencil is on the book	the book is on my desk	the pencil is on my desk	yes
the mug is on the book	the book is on pregnancy	the mug is on pregnancy	no	the mug is on the book	the book is on top of the cupboard	the mug is on top of the cupboard	yes
I am with Elena	Elena is in a rock band	I am in a rock band	no	my cousin is with me	I am in the park	my cousin is in the park	yes
the broom is in the garden	the garden is at its best	the broom is at its best	no	the broom is in the garden	the garden is at the bottom of the mountain	the broom is at the bottom of the mountain	yes
I am with my mother	my mother is at a loss	I am at a loss	no	I am with my mother	my mother is at my grandmother's	I am at my grandmother's	yes
the blanket is in the car	the car is in the list	the blanket is in the list	no	the worm is in the apple	the apple is in the basket	the worm is in the basket	yes
the competitors are in Slovakia	Slovakia is at war with Indonesia	the competitors are at war with Indonesia	no	my future is in my savings	my savings are at risk	my future is at risk	yes
the Director is in the project	the project is at an advanced stage of development	the Director is at an advanced stage of development	no	we are in a relationship	our relationship is at an impasse	we are at an impasse	yes
the fire is in the newspaper	the newspaper is in the train	the fire is in the train	no	the coupon is in the newspaper	the newspaper is in the train	the coupon is in the train	yes
Claudia is in love	love is in the air	Claudia is in the air	no	Claudia is in the plane	the plane is in the hangar	Claudia is in the hangar	yes
the drinks are on me	I am in love	the drinks are in love	no	the drinks are on the table	the table is in the pub	the drinks are in the pub	yes
the dog is with me	I am in shock	the dog is in shock	no	the dog is with me	I am in the park	the dog is in the park	yes
the voice is in my head	my head is in the clouds	the voice is in the clouds	no	the implant is in my ear	my ear is in the scanning machine	the implant is in the scanning machine	yes
the memory is in my head	my head is in pain	the memory is in pain	no	the ghost is in my memory	the memory is in my mind	the ghost is in my mind	yes
the house is in my name	my name is on my passport	the house is on my passport	no	the house is in my hometown	my hometown is on a hill	the house is on a hill	yes
the pen is in my book	my book is on the neuroscience of sleep	the pen is on the neuroscience of sleep	no	the results are in my thesis	my thesis is on the neuroscience of sleep	the results are on the neuroscience of sleep	yes
the workshop is on the history of the forest	the history of the forest is in its tree rings	the workshop is in its tree rings	no	the workshop is on a historical site	the historical site is in a remote area	the workshop is in a remote area	yes
there are strange sounds in the forest	the forest is in the photo	there are strange sounds in the photo	no	there are strange shapes in the footprints	the footprints are in the photo	there are strange shapes in the photo	yes
her personality is in her paintings	her paintings are in a museum	her personality is in a museum	no	her ideas are in her decorations	her decorations are in good taste	her ideas are in good taste	yes
there is greatness in the child	the child is with his classmates	there is greatness with his classmates	no	my money is in my account	my account is with a Swiss bank	my money is with a Swiss bank	yes
the report is with my boss	my boss is on vacation	the report is on vacation	no	the cat is with its owner	its owner is on an island	the cat is on an island	yes
the focus is on the ascent	the ascent is on foot	the focus is on foot	no	the focus is on the story	the story is on the evolution of modern art	the focus is on the evolution of modern art	yes
my favourite character is in the story	the story is under review	my favourite character is under review	no	my necklace is in the drawer	the drawer is under the table	my necklace is under the table	yes
I am under the weather today	the weather is under the attention of scientists	I am under the attention of scientists	no	I am under the umbrella	the umbrella is under the ceiling	I am under the ceiling	yes
a coffee is under 10 euros	10 euros are in my pocket	a coffee is in my pocket	no	I am under the bridge	the bridge is in Bucharest	I am in Bucharest	yes
John is under propofol	propofol is under the class of illegal drugs	John is under the class of illegal drugs	no	John is under propofol	propofol is under the class of illegal drugs	John is under an illegal drug	yes
the pressure is on me	I am on a call with my father	the pressure is on a call with my father	no	the pressure is on my project	my project is on sustainability	the pressure is on a sustainability project	yes
my children are in a gifted education program	gifted education programs are in the public consultations	my children are in the public consultations	no	my children are in the park	the park is in the neighbourhood	my children are in the neighbourhood	yes
the storm is in the city	the city is under fire	the storm is under fire	no	the engine is in the car	the car is under fire	the engine is under fire	yes
the medical device is under the patient	the patient is under sedation	the medical device is under sedation	no	the medical device is under the chair	the chair is under the table	the medical device is under the table	yes
he is under the belief that mammoths still exist	the belief that mammoths still exist is in the documentary	he was in the documentary	no	he is under the large tent	the large tent is in the marshes	he is in the marshes	yes
the typos are in the proposal	the proposal is under consideration	the typos are under consideration	no	the ideas are in the proposal	the proposal is under consideration	the ideas are under consideration	yes
the scarf is on me	I work under difficult conditions	the scarf is under difficult conditions	no	the scarf is on me	I am under a bridge	the scarf is under a bridge	yes
I am on a hike	the hike is under three hours	I am under three hours	no	I am on a hike	the hike is under a canyon	I am under a canyon	yes
my dog is with my friend	my friend is in charge	the dog is in charge	no	my dog is with my friend	my friend is in my hometown	my dog is in my hometown	yes
the pressure is on Julie	Julie was born under the Leo sign	the pressure is under the Leo sign	no	the box is on a chair	the chair is under a desk	the box is under a desk	yes
the responsibility is on the administrator	the administrator is under pressure	the responsibility is under pressure	no	the cat is on a sofa	the sofa is under an arcade	the cat is under an arcade	yes
the pressure is on the writers	the writers are on vacation	the pressure is on vacation	no	the writers are on a boat	the boat is on the Northern Sea	the writers are on the Northern Sea	yes
our confidence is in this project	this project is on track	our confidence is on track	no	the analysis is in the project	the project is on track	the analysis is on track	yes
a black cat is in the joke	the joke is on you	a black cat is on you	no	there is black humour in the joke	the joke is on tv	there is black humour on tv	yes
the lecture is on the flu virus	the flu virus is in the South	the lecture is in the South	no	ash is on volcanoes	volcanoes are in the South	ash is in the South	yes
the doctor is on the committee	the committee is in complete form	the doctor is in complete form	no	the witch is on the broom	the broom is in the jungle	the witch is in the jungle	yes
Roman is on duty	duty is in his blood	Roman is in his blood	no	Roman is on duty	the duty is in the army	Roman is in the army	yes
I am on antibiotics	the antibiotics are on the bed	I am on the bed	no	I am on the sofa	the sofa is on the first floor	I am on the first floor	yes
the picture is in the album	the album is on the list of our best albums	the picture is on the list of our best albums	no	the picture is in the folder	the folder is on the hard drive	the picture is on the hard drive	yes
the picture is in the security department	the security department is on strike	the picture is on strike	no	her secrets are in that folder	that folder is on the usb stick	her secrets are on the usb stick	yes
the rug is under the dog	the dog is under my protection	the rug is under my protection	no	the rug is under the dog	the dog is under the table	the rug is under the table	yes
the credit card is under the passport	the passport is under a false name	the credit card is under a false name	no	the credit card is under the passport	the passport is under a fake painting	the credit card is under a fake painting	yes
the watch is under the CD	the CD is under the value of the coupon	the watch is under the value of the coupon	no	the watch is under the CD	the CD is under the statue	the watch is under the statue	yes
the doll is behind the curtain	the curtain is behind many of our arguments about design	the doll is behind many of our arguments about design	no	the doll is behind the curtain	the curtain is behind the desk	the doll is behind the desk	yes
the company is behind this transaction	this transaction is behind others in the processing queue	the company is behind others in the processing queue	no	the company is behind this transaction	this transaction is behind the latest controversies	the company is behind the latest controversies	yes
the flower pot is above the desk	the desk is above my expectations	the flower pot is above my expectations	no	the flower pot is above the desk	the desk is above the ground	the flower pot is above the ground	yes
your personality is reflected in the response quality	the response quality is above chance 	your personality is above chance	no	the vase reflection is in the mirror	the mirror is above the table	the vase reflection is above the table	yes
Anna is in love	love is above all other feelings	Anna is above all other feelings	no	the brush is in the cabinet	the cabinet is above the sink	the brush is above the sink	yes
the mirror is above Jodie	Jodie is above age three	the mirror is above age three	no	the mirror is above Jodie	Jodie is above a garden	the mirror is above a garden	yes
the policeman is on the train	the train is above expectations	the policeman is above expectations	no	the jacket is on the shelf	the shelf is above the cabinet	the jacket is above the cabinet	yes
my ankle is in pain	the pain is above any bearable threshold	my ankle is above any bearable threshold	no	an apple is in the box	the box is above the piano	an apple is above the piano	yes
the lettuce is above the peas	the peas are in great demand	the lettuce is above great demand	no	the ice cream is above the peas	the peas are in the second box	the ice cream is above the second box	yes
the painting is above the piano	the piano is in ruins	the painting is in ruins	no	the painting is above the piano	the piano is in the hotel room	the painting is in the hotel room	yes
the stars are above the lake	the lake is above my expectations	the stars are above my expectations	no	the eyes are above the nose	the nose is above the mouth	the eyes are above the mouth	yes
the tree is under the Milky Way	the Milky Way is under the attention of astronomers	the tree is under the attention of astronomers	no	the mouth is under the nose	the nose is under the eyes	the mouth is under the eyes	yes
